timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packets,bytes_sent,bytes_recv,duration,label
2026-08-04 10:00:00,192.168.4.90,8.8.8.8,8284,23,TCP,257,226374,565776,4.74,BENIGN
2026-08-04 10:00:01,192.168.1.192,104.26.10.1,60051,23,TCP,201,255456,857609,0.27,BENIGN
2026-08-04 10:00:02,192.168.1.178,104.26.10.1,37346,21,TCP,50,243231,895946,0.55,BENIGN
2026-08-04 10:00:03,192.168.4.56,172.217.0.46,26022,4444,UDP,15,443390,548306,0.33,BENIGN
2026-08-04 10:00:04,192.168.6.160,8.8.8.8,10692,398,TCP,60,22717,280358,4.27,Port_Scan
2026-08-04 10:00:05,192.168.6.75,185.220.101.42,17870,22,TCP,270,15097,839108,4.28,BENIGN
2026-08-04 10:00:06,192.168.5.109,104.26.10.1,20192,3389,TCP,150,448726,747609,2.29,Brute_Force
2026-08-04 10:00:07,192.168.4.155,185.220.101.42,5115,53,TCP,202,407393,330773,1.38,BENIGN
2026-08-04 10:00:08,192.168.8.145,185.220.101.42,11228,53,UDP,254,422276,266784,4.24,BENIGN
2026-08-04 10:00:09,192.168.10.117,172.217.0.46,18814,4444,UDP,109,271484,18750,2.66,BENIGN
2026-08-04 10:00:10,192.168.2.108,172.217.0.46,56539,31337,UDP,84,145973,447893,4.38,BENIGN
2026-08-04 10:00:11,192.168.0.152,1.1.1.1,54045,443,UDP,261,17547,99241,2.6,BENIGN
2026-08-04 10:00:12,192.168.4.58,104.26.10.1,60596,4444,TCP,92,364113,872061,1.7,BENIGN
2026-08-04 10:00:13,192.168.1.175,1.1.1.1,43995,3389,UDP,186,490477,466356,4.24,BENIGN
2026-08-04 10:00:14,192.168.1.235,104.26.10.1,2041,31337,UDP,5000,339163,237504,0.15,DDoS
2026-08-04 10:00:15,192.168.1.44,8.8.8.8,46271,23,TCP,150,126669,495495,4.31,Brute_Force
2026-08-04 10:00:16,192.168.1.137,185.220.101.42,17258,23,TCP,100,492637,411434,4.57,BENIGN
2026-08-04 10:00:17,192.168.4.235,172.217.0.46,44309,22,TCP,125,15000000,866274,4.83,Data_Exfiltration
2026-08-04 10:00:18,192.168.9.142,104.26.10.1,42718,23,UDP,71,245060,324647,3.48,BENIGN
2026-08-04 10:00:19,192.168.9.52,185.220.101.42,14587,22,UDP,107,311704,141971,2.86,BENIGN
2026-08-04 10:00:20,192.168.3.239,8.8.8.8,65511,976,TCP,60,317995,97444,3.19,Port_Scan
2026-08-04 10:00:21,192.168.1.47,185.220.101.42,45280,22,TCP,150,404930,343570,3.65,Brute_Force
